text,pos,total,pos_unique
"[jour, rois]","['NOUN', 'NOUN']",2,1
"[cinq, cent, unième, anniversaire]","['NUM', 'NUM', 'ADJ', 'NOUN']",4,3
"[naissance, jeanne, d', arc]","['NOUN', 'PROPN', 'ADP', 'PROPN']",4,3
[iv],['NOUN'],1,1
"[comme, vieille, aïeule, plus, fort, âge]","['ADP', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN']",6,4
"[réjouit, voir, tendre, nourrisson]","['VERB', 'VERB', 'ADJ', 'NOUN']",4,3
"[l', enfant, mamelle, dernier, besson]","['DET', 'NOUN', 'NOUN', 'ADJ', 'NOUN']",5,3
"[recommencer, vie, ainsi, qu', un, héritage]","['VERB', 'NOUN', 'ADV', 'SCONJ', 'DET', 'NOUN']",6,5
"[fait, avance, très, grand, personnage]","['VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
"[plus, hardi, faucheur, temps, moisson]","['ADV', 'ADJ', 'ADJ', 'NOUN', 'NOUN']",5,3
"[plus, hardi, chanteur, temps, chanson]","['ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",5,3
"[qu', on, jamais, vu, cet, humble, village]","['PRON', 'PRON', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN']",7,6
"[telle, vieille, sainte, éternellement, sage]","['ADJ', 'ADJ', 'NOUN', 'ADV', 'ADJ']",5,3
"[connut, l', honneur, maison]","['VERB', 'DET', 'NOUN', 'NOUN']",4,3
"[quand, vit, venir, habillée, garçon]","['SCONJ', 'VERB', 'VERB', 'VERB', 'NOUN']",5,3
"[bien, prise, cuirasse, droite, l', arçon]","['ADV', 'VERB', 'NOUN', 'ADJ', 'DET', 'NOUN']",6,5
"[priant, pommeau, estramaçon]","['ADJ', 'NOUN', 'ADJ']",3,2
"[après, neuf, cent, vingt, ans, fille, dur, corsage]","['ADP', 'NUM', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADJ', 'NOUN']",8,4
"[qu', elle, vit, monter, dessus, l', horizon]","['PRON', 'PRON', 'VERB', 'VERB', 'ADV', 'DET', 'NOUN']",7,5
"[souple, cheval, caparaçon]","['ADJ', 'NOUN', 'NOUN']",3,2
"[plus, grande, beauté, tout, parentage]","['ADV', 'ADJ', 'NOUN', 'DET', 'NOUN']",5,4
"[cinquième, jour]","['ADJ', 'NOUN']",2,2
"[mardi, janvier]","['NOUN', 'NOUN']",2,1
"[comme, vieille, aïeule, fin, fond, âge]","['ADP', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",6,3
"[plaît, regarder, plus, arrière, fille]","['VERB', 'VERB', 'ADV', 'ADV', 'NOUN']",5,3
"[naissante, l', autre, bout, longue, famille]","['ADJ', 'DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",6,3
"[recommencer, vie, ainsi, qu', un, héritage]","['VERB', 'NOUN', 'ADV', 'SCONJ', 'DET', 'NOUN']",6,5
"[fait, avance, très, grand, personnage]","['VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
"[fileuse, moissonneuse, pleine, faucille]","['ADJ', 'ADJ', 'ADJ', 'NOUN']",4,2
"[plus, preste, fuseau, plus, savante, aiguille]","['ADV', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN']",6,3
"[qu', on, jamais, vu, simple, village]","['PRON', 'PRON', 'ADV', 'VERB', 'ADJ', 'NOUN']",6,5
"[telle, vieille, sainte, éternellement, sage]","['ADJ', 'ADJ', 'NOUN', 'ADV', 'ADJ']",5,3
"[bord, montagne, double, berge]","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
"[regardait, s', avancer, tout, équipage]","['VERB', 'PRON', 'VERB', 'DET', 'NOUN']",5,4
"[encadrement, cierge, flamberge]","['NOUN', 'NOUN', 'PROPN']",3,2
"[casque, remis, mains, petit, page]","['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
"[fille, plus, sainte, après, sainte, vierge]","['NOUN', 'ADV', 'ADJ', 'ADP', 'ADJ', 'NOUN']",6,4
"[sixième, jour]","['ADJ', 'NOUN']",2,2
"[mercredi, janvier]","['NOUN', 'NOUN']",2,1
[vi],['X'],1,1
"[comme, dieu, fait, rien, miséricordes]","['SCONJ', 'PROPN', 'VERB', 'PRON', 'NOUN']",5,5
"[fallut, qu', elle, vît, royaume, lambeaux]","['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'NOUN']",6,4
"[filleule, ville, embrasée, flambeaux]","['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
"[ravagée, mains, plus, sinistres, hordes]","['VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,4
"[coeurs, dévorés, plus, basses, discordes]","['NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
"[morts, poursuivis, jusque, tombeaux]","['ADJ', 'VERB', 'ADP', 'NOUN']",4,4
"[cent, mille, innocents, exposés, corbeaux]","['DET', 'DET', 'ADJ', 'VERB', 'NOUN']",5,4
"[pendus, tirant, langue, bout, cordes]","['ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN']",5,3
"[qu', elle, vît, fleurir, plus, grande, merveille]","['SCONJ', 'PRON', 'VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",7,6
"[jamais, dieu, père, simplicité]","['ADV', 'PROPN', 'NOUN', 'NOUN']",4,3
"[jardins, grâce, volonté]","['NOUN', 'NOUN', 'NOUN']",3,1
"[fait, jaillir, force, nécessité]","['AUX', 'VERB', 'NOUN', 'NOUN']",4,3
"[après, neuf, cent, vingt, ans, prière, veille]","['ADP', 'NUM', 'NUM', 'NUM', 'NOUN', 'NOUN', 'NOUN']",7,3
"[quand, vit, venir, vers, l', antique, cité]","['SCONJ', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN']",7,6
"[gardant, coeur, intact, pleine, adversité]","['VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN']",5,3
"[masquant, sous, visière, efficacité]","['VERB', 'ADP', 'NOUN', 'NOUN']",4,3
"[tenant, tout, royaume, ténacité]","['VERB', 'DET', 'NOUN', 'NOUN']",4,3
"[vivant, plein, mystère, sagacité]","['VERB', 'ADJ', 'NOUN', 'NOUN']",4,3
"[mourant, plein, martyre, vivacité]","['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2
"[fille, lorraine, nulle, autre, pareille]","['NOUN', 'ADJ', 'DET', 'ADJ', 'ADJ']",5,3
"[septième, jour]","['ADJ', 'NOUN']",2,2
"[jeudi, janvier]","['NOUN', 'NOUN']",2,1
[vii],['X'],1,1
"[comme, dieu, fait, rien, simple, bergère]","['SCONJ', 'PROPN', 'VERB', 'PRON', 'ADJ', 'NOUN']",6,6
"[fallut, qu', elle, vît, discorde, civile]","['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADJ']",6,5
