text,pos,total,pos_unique
"[devant, tant, évide]","['ADP', 'ADV', 'ADJ']",3,3
[nce],['PRON'],1,1
"[éclate, tellement, toute, création]","['VERB', 'ADV', 'DET', 'NOUN']",4,4
"[infime, créature, infime, ser-]","['ADJ', 'NOUN', 'ADJ', 'PROPN']",4,3
"[—, vante, infime, fourmi, infime]","['PUNCT', 'ADJ', 'ADJ', 'NOUN', 'ADJ']",5,3
"[thésaurise, petitement, comme, homme]","['VERB', 'ADV', 'ADP', 'NOUN']",4,4
"[comme, homme, infime]","['ADP', 'NOUN', 'ADJ']",3,3
"[creuse, galeries, terre]","['VERB', 'NOUN', 'NOUN']",3,2
"[sous-sols, terre]","['NOUN', 'NOUN']",2,1
"[amasser, mesquinement, trésors]","['VERB', 'ADV', 'NOUN']",3,3
[temporels],['ADJ'],1,1
[pauvrement],['ADV'],1,1
"[jusque, serpent]","['ADP', 'NOUN']",2,2
"[trompé, femme, rampe, cela]","['VERB', 'NOUN', 'NOUN', 'PRON']",4,3
[ventre],['NOUN'],1,1
"[créature, serviteur]","['NOUN', 'NOUN']",2,1
"[serpent, trompé, femme]","['NOUN', 'VERB', 'NOUN']",3,2
[servante],['NOUN'],1,1
"[trompé, homme, serviteur]","['VERB', 'NOUN', 'NOUN']",3,2
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[tout, arrive, hommes, peuples]","['ADJ', 'VERB', 'NOUN', 'NOUN']",4,3
[pauvres],['ADJ'],1,1
[riches],['ADJ'],1,1
"[veulent, être, créatures]","['VERB', 'AUX', 'NOUN']",3,3
"[mettent, abri]","['VERB', 'NOUN']",2,2
"[être, serviteurs]","['AUX', 'NOUN']",2,2
"[tout, homme, fait, défait, mal]","['DET', 'NOUN', 'VERB', 'VERB', 'ADV']",5,4
[bien],['ADV'],1,1
"[passe, dessus, parce]","['VERB', 'ADV', 'SCONJ']",3,3
"[maître, fais, défait, défais]","['NOUN', 'VERB', 'VERB', 'ADJ']",4,3
[fait],['VERB'],1,1
"[jusque, tentation, péché]","['ADP', 'NOUN', 'NOUN']",3,2
[arrivé],['VERB'],1,1
[fils],['NOUN'],1,1
"[cause, homme]","['NOUN', 'NOUN']",2,1
[créature],['NOUN'],1,1
[créé],['VERB'],1,1
"[incorporation, renaissance]","['NOUN', 'ADJ']",2,2
"[vie, mort, fils]","['NOUN', 'ADJ', 'NOUN']",3,2
"[saint, sacrifice, messe]","['ADJ', 'NOUN', 'NOUN']",3,2
"[toute, naissance, toute, vie]","['DET', 'NOUN', 'DET', 'NOUN']",4,2
"[toute, mort]","['DET', 'NOUN']",2,2
"[vie, éternelle, finira, point]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
"[vaincra, toute, mort]","['VERB', 'DET', 'NOUN']",3,3
"[éclate, tellement, création]","['VERB', 'ADV', 'NOUN']",3,3
"[voir, vraiment, faudrait]","['VERB', 'ADV', 'VERB']",3,2
"[pauvres, gens, aveugles]","['ADJ', 'NOUN', 'ADJ']",3,2
"[charité, dit, dieu, ça, étonne]","['NOUN', 'VERB', 'PROPN', 'PRON', 'VERB']",5,4
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[pauvres, créatures, si, malheureuses]","['ADJ', 'NOUN', 'ADV', 'ADJ']",4,3
"[moins, avoir, cœur, pierre, comment, au-]","['ADV', 'VERB', 'NOUN', 'NOUN', 'ADV', 'PRON']",6,4
"[—, raient, -, elles, point, charité, unes, autres]","['PUNCT', 'VERB', 'PRON', 'PRON', 'ADV', 'NOUN', 'DET', 'ADJ']",8,7
"[comment, auraient, -ils, point, charité, frères]","['ADV', 'AUX', 'PRON', 'ADV', 'NOUN', 'NOUN']",6,4
"[comment, retireraient, -ils, point, pain]","['ADV', 'VERB', 'PRON', 'NOUN', 'NOUN']",5,4
"[bouche, pain, chaque, jour, donner]","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB']",5,3
"[malheureux, enfants, passent]","['ADJ', 'NOUN', 'VERB']",3,3
"[fils, telle, charité]","['NOUN', 'ADJ', 'NOUN']",3,2
"[fils, frère]","['NOUN', 'NOUN']",2,1
"[si, grande, charité]","['ADV', 'ADJ', 'NOUN']",3,3
"[espérance, dit, dieu, voilà, étonne]","['NOUN', 'VERB', 'PROPN', 'VERB', 'VERB']",5,3
"[moi, -, même]","['PRON', 'PRON', 'PRON']",3,1
"[ça, étonnant]","['PRON', 'ADJ']",2,2
"[pauvres, enfants, voient, comme, tout, ça]","['ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'PRON']",6,5
"[passe, croient, demain, ça, ira, mieux]","['VERB', 'VERB', 'ADV', 'PRON', 'VERB', 'ADV']",6,3
"[voient, comme, ça, passe, aujourd, hui]","['VERB', 'SCONJ', 'PRON', 'VERB', 'ADV', 'ADV']",6,4
"[croient, ça, ira, mieux, demain, matin]","['VERB', 'PRON', 'VERB', 'ADV', 'ADV', 'NOUN']",6,4
"[ça, étonnant, bien, plus, grande, mer-]","['PRON', 'ADJ', 'ADV', 'ADV', 'ADJ', 'NOUN']",6,4
"[—, veille, grâce]","['PUNCT', 'NOUN', 'NOUN']",3,2
"[étonné, moi, -, même]","['VERB', 'PRON', 'PRON', 'PRON']",4,2
"[faut, grâce, effet, force]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
[incroyable],['ADJ'],1,1
"[coule, source, comme, fleuve]","['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
[inépuisable],['ADJ'],1,1
"[depuis, première, fois, coula, depuis]","['ADP', 'ADJ', 'NOUN', 'VERB', 'ADP']",5,4
"[toujours, coule]","['ADV', 'VERB']",2,2
"[création, naturelle, surnaturelle]","['NOUN', 'ADJ', 'ADJ']",3,2
"[création, spirituelle, charnelle, encore]","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
[spirituelle],['ADJ'],1,1
"[création, éternelle, temporelle, encore]","['NOUN', 'ADJ', 'ADJ', 'ADV']",4,3
[éternelle],['ADJ'],1,1
"[mortelle, immortelle]","['ADJ', 'ADJ']",2,1
"[cette, fois, oh, cette, fois, depuis, cette]","['DET', 'NOUN', 'ADV', 'DET', 'NOUN', 'ADP', 'DET']",7,4
[fois],['NOUN'],1,1
"[coula, comme, fleuve, sang, flanc, percé]","['VERB', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB']",6,3
[fils],['NOUN'],1,1
"[quelle, faut, -il, grâce, force]","['ADJ', 'VERB', 'PRON', 'NOUN', 'NOUN']",5,4
"[grâce, cette, petite, espérance]","['NOUN', 'DET', 'ADJ', 'NOUN']",4,3
"[vacillante, souffle, péché, tremblante, tous]","['ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ']",5,2
"[vents, anxieuse, moindre, souffle]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[aussi, invariable, tienne, aussi, fidèle, aussi]","['ADV', 'ADJ', 'VERB', 'ADV', 'ADJ', 'ADV']",6,3
"[droite, aussi, pure, aussi, invincible, immortelle]","['ADJ', 'ADV', 'ADJ', 'ADV', 'ADJ', 'ADJ']",6,2
"[impossible, éteindre, cette, petite, flamme]","['ADJ', 'VERB', 'DET', 'ADJ', 'NOUN']",5,4
[sanctuaire],['NOUN'],1,1
"[brûle, éternellement, lampe, fidèle]","['VERB', 'ADV', 'NOUN', 'ADJ']",4,4
"[flamme, tremblotante, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[mondes],['NOUN'],1,1
"[flamme, vacillante, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[temps],['NOUN'],1,1
"[flamme, anxieuse, traversé, épaisseur]","['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
[nuits],['NOUN'],1,1
"[depuis, cette, première, fois, grâce, coulé]","['ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'VERB']",6,5
"[création, monde]","['NOUN', 'NOUN']",2,1
"[depuis, toujours, grâce, coule, conser-]","['ADP', 'ADV', 'NOUN', 'VERB', 'VERB']",5,4
"[—, vation, monde]","['PUNCT', 'NOUN', 'NOUN']",3,2
"[depuis, cette, fois, sang, fils, coulé]","['ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB']",6,4
"[salut, monde]","['NOUN', 'NOUN']",2,1
"[flamme, impossible, atteindre, impossible, éteindre, souffle, mort]","['NOUN', 'ADJ', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADJ']",7,3
"[étonne, dit, dieu, espérance]","['VERB', 'VERB', 'PROPN', 'NOUN']",4,3
[reviens],['VERB'],1,1
"[cette, petite, espérance, air, rien, tout]","['DET', 'ADJ', 'NOUN', 'NOUN', 'PRON', 'ADJ']",6,4
"[cette, petite, fille, espérance]","['DET', 'ADJ', 'NOUN', 'NOUN']",4,3
[immortelle],['ADJ'],1,1
"[car, trois, vertus, dit, dieu]","['CCONJ', 'NUM', 'NOUN', 'VERB', 'NOUN']",5,4
"[trois, vertus, créatures]","['NUM', 'NOUN', 'NOUN']",3,2
"[filles, enfants]","['NOUN', 'NOUN']",2,1
"[elles, -, mêmes, comme, autres, créatures]","['PRON', 'PRON', 'PRON', 'ADP', 'ADJ', 'NOUN']",6,4
"[race, hommes]","['NOUN', 'NOUN']",2,1
"[foi, épouse, fidèle]","['NOUN', 'NOUN', 'ADJ']",3,2
"[charité, mère]","['NOUN', 'NOUN']",2,1
"[mère, ardente, pleine, cœur]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[sœur, aînée, comme, mère]","['NOUN', 'ADJ', 'ADP', 'NOUN']",4,3
"[espérance, petite, fille, rien, tout]","['NOUN', 'ADJ', 'NOUN', 'PRON', 'ADJ']",5,3
"[venue, monde, jour, noël, année, dernière]","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ']",6,2
"[joue, encore, bonhomme, janvier]","['VERB', 'ADV', 'NOUN', 'NOUN']",4,3
"[petits, sapins, bois, allemagne, couverts, givre, peint]","['ADJ', 'NOUN', 'NOUN', 'PROPN', 'VERB', 'NOUN', 'VERB']",7,4
"[bœuf, âne, bois, allemagne]","['NOUN', 'NOUN', 'NOUN', 'PROPN']",4,2
[peints],['VERB'],1,1
"[crèche, pleine, paille, bêtes]","['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
[mangent],['VERB'],1,1
"[puisqu, elles, bois]","['SCONJ', 'PRON', 'VERB']",3,3
"[cette, petite, fille, pourtant, traversera]","['DET', 'ADJ', 'NOUN', 'ADV', 'VERB']",5,5
[mondes],['NOUN'],1,1
"[cette, petite, fille, rien, tout]","['DET', 'ADJ', 'NOUN', 'PRON', 'ADJ']",5,4
"[seule, portant, autres, traversera]","['ADJ', 'VERB', 'ADJ', 'VERB']",4,2
"[mondes, révolus]","['NOUN', 'ADJ']",2,2
"[comme, étoile, conduit, trois, rois, fin, fond]","['ADP', 'NOUN', 'VERB', 'NUM', 'NOUN', 'ADJ', 'NOUN']",7,5
[orient],['PROPN'],1,1
"[vers, berceau, mo]","['ADP', 'NOUN', 'PROPN']",3,3
[fils],['NOUN'],1,1
"[ainsi, flamme, tremblante]","['ADV', 'NOUN', 'ADJ']",3,3
"[seule, conduira, vertus, mondes]","['ADJ', 'VERB', 'NOUN', 'NOUN']",4,3
"[flamme, percera, ténèbres, éternelles]","['NOUN', 'VERB', 'NOUN', 'ADJ']",4,3
"[prêtre, dit]","['NOUN', 'VERB']",2,2
"[ministre, dieu, prêtre, dit]","['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
"[quelles, trois, vertus, théologales]","['DET', 'NUM', 'NOUN', 'ADJ']",4,4
"[enfant, répond]","['NOUN', 'VERB']",2,2
"[trois, vertus, théologales, foi, espérance]","['NUM', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",5,3
[charité],['NOUN'],1,1
"[pourquoi, foi, espérance, charité, sont-]","['ADV', 'NOUN', 'NOUN', 'NOUN', 'PRON']",5,3
"[elles, appelées, vertus, théologales]","['PRON', 'VERB', 'NOUN', 'ADJ']",4,4
"[foi, espérance, charité, appelées]","['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
"[vertus, théologales, parce, elles, rapportent]","['NOUN', 'ADJ', 'SCONJ', 'PRON', 'VERB']",5,5
"[immédiatement, dieu]","['ADV', 'PROPN']",2,2
"[est, -ce, espérance]","['AUX', 'PRON', 'NOUN']",3,3
"[espérance, vertu, surnaturelle, laquelle]","['NOUN', 'NOUN', 'ADJ', 'PRON']",4,3
"[attendons, dieu, confiance, grâce]","['VERB', 'PROPN', 'NOUN', 'NOUN']",4,3
"[monde, gloire, éternelle, autre]","['NOUN', 'NOUN', 'ADJ', 'ADJ']",4,2
"[faites, acte, espérance]","['VERB', 'NOUN', 'NOUN']",3,2
"[foi, va, soi, foi, marche, toute, seule]","['NOUN', 'VERB', 'PRON', 'NOUN', 'VERB', 'ADJ', 'ADJ']",7,4
"[croire, laisser, aller]","['VERB', 'VERB', 'VERB']",3,1
"[regarder, croire, faudrait, vio-]","['VERB', 'VERB', 'VERB', 'ADV']",4,2
"[—, lenter, torturer]","['PUNCT', 'VERB', 'VERB']",3,2
"[tourmenter, contrarier]","['VERB', 'VERB']",2,1
"[raidir, prendre, envers, mettre, en-]","['VERB', 'VERB', 'ADP', 'VERB', 'ADV']",5,3
"[—, vers, remonter, foi, toute, naturelle, toute]","['PUNCT', 'ADP', 'VERB', 'NOUN', 'ADV', 'ADJ', 'ADJ']",7,6
"[allante, toute, simple, toute, venante, toute, bonne]","['ADJ', 'ADV', 'ADJ', 'ADV', 'ADJ', 'ADV', 'ADJ']",7,2
"[venante, toute, belle, allante, bonne]","['ADJ', 'ADV', 'ADJ', 'ADJ', 'ADJ']",5,2
"[femme, connaît, vieille, bonne]","['NOUN', 'VERB', 'ADJ', 'ADJ']",4,3
"[femme, bonne, vieille, paroissienne]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[bonne, femme, paroisse, vieille, grand-]","['ADJ', 'NOUN', 'NOUN', 'ADJ', 'PROPN']",5,3
"[—, mère, bonne, paroissienne, raconte]","['PUNCT', 'ADJ', 'ADJ', 'NOUN', 'VERB']",5,4
"[histoires, ancien, temps, arrivées]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[ancien, temps]","['ADJ', 'NOUN']",2,2
"[croire, enfant, faudrait]","['VERB', 'NOUN', 'VERB']",3,2
"[boucher, yeux, oreilles, voir]","['VERB', 'NOUN', 'NOUN', 'VERB']",4,2
[croire],['VERB'],1,1
"[charité, va, malheureusement, soi, charité]","['NOUN', 'VERB', 'ADV', 'PRON', 'NOUN']",5,4
"[marche, toute, seule, aimer, prochain]","['VERB', 'ADJ', 'ADJ', 'VERB', 'ADJ']",5,2
"[laisser, aller, regarder]","['VERB', 'VERB', 'VERB']",3,1
"[tant, détresse, aimer, prochain]","['ADV', 'NOUN', 'VERB', 'ADJ']",4,4
