text,pos,total,pos_unique
"[pères, tenté, centuple, hasard]","['NOUN', 'VERB', 'NOUN', 'ADJ']",4,3
"[fidèlement, courbés, rames, obliques]","['ADV', 'VERB', 'NOUN', 'ADJ']",4,4
"[prenant, place, banc, chêne]","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"[ramerons, reins, nuque, l', âme]","['ADJ', 'NOUN', 'ADJ', 'DET', 'NOUN']",5,3
"[pliés, cassés, meurtris, saignants, sous, chaîne]","['VERB', 'VERB', 'ADJ', 'ADJ', 'ADP', 'NOUN']",6,4
"[tiendrons, coup, rivés, rame]","['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
"[forçats, fils, forçats, deux, rives, seine]","['NOUN', 'ADJ', 'NOUN', 'NUM', 'NOUN', 'NOUN']",6,3
"[galériens, couchés, pieds, dame]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[paris, vaisseau, guerre]","['NOUN', 'NOUN', 'NOUN']",3,1
"[double, vaisseau, ligne, long, colonnades]","['ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN']",5,2
"[autrefois, bâtiment, centuple, sabord]","['AUX', 'NOUN', 'NOUN', 'ADJ']",4,3
"[aujourd'hui, lourde, usine, énorme, coffre, -, fort]","['ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADV']",7,3
"[fermé, secret, sourdes, canonnades]","['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
"[pères, t', ont, dansé, chaudes, sérénades]","['NOUN', 'PRON', 'AUX', 'VERB', 'ADJ', 'NOUN']",6,5
"[t', ont, fleuri, sang, plus, belle, mort]","['PRON', 'AUX', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN']",7,5
"[quand, gaillard, d', avant, vers, l', un, l', autre, bord]","['SCONJ', 'NOUN', 'ADP', 'ADP', 'ADP', 'DET', 'PRON', 'DET', 'ADJ', 'NOUN']",10,6
"[bondissait, troupeau, graves, caronnades]","['VERB', 'NOUN', 'ADJ', 'VERB']",4,3
"[apporterons, destins, géants]","['VERB', 'ADJ', 'ADJ']",3,2
"[coeur, si, sérieux, si, brûlé, flamme]","['NOUN', 'SCONJ', 'ADJ', 'SCONJ', 'VERB', 'NOUN']",6,4
"[coeur, si, curieux, tous, océans]","['NOUN', 'SCONJ', 'ADJ', 'ADJ', 'ADJ']",5,3
"[soldats, fils, soldats, sous, oriflamme]","['NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN']",5,3
"[qu', on, mettra, valets, canons, béants]","['SCONJ', 'PRON', 'VERB', 'NOUN', 'NOUN', 'ADJ']",6,5
"[monstres, verts, accroupis, pieds, notre-dame]","['NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ']",5,3
"[présentation, beauce, dame, chartres]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[étoile, mer, voici, lourde, nappe]","['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN']",5,3
"[profonde, houle, l', océan, blés]","['ADJ', 'NOUN', 'DET', 'NOUN', 'ADJ']",5,3
"[mouvante, écume, greniers, comblés]","['NOUN', 'ADP', 'NOUN', 'VERB']",4,3
"[voici, regard, cette, immense, chape]","['VERB', 'NOUN', 'DET', 'ADJ', 'NOUN']",5,4
"[voici, voix, cette, lourde, plaine]","['VERB', 'ADV', 'DET', 'ADJ', 'NOUN']",5,5
"[amis, absents, coeurs, dépeuplés]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[voici, long, poings, désassemblés]","['VERB', 'ADJ', 'NOUN', 'ADJ']",4,3
"[lassitude, force, pleine]","['NOUN', 'NOUN', 'ADJ']",3,2
"[étoile, matin, inaccessible, reine]","['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
