text,pos,total,pos_unique
recommencer vie ainsi qu' un héritage,"['VERB', 'NOUN', 'ADV', 'SCONJ', 'DET', 'NOUN']",6,5
fait avance très grand personnage,"['VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,4
plus hardi faucheur temps moisson,"['ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",5,3
plus hardi chanteur temps chanson,"['ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",5,3
qu' on jamais vu cet humble village,"['PRON', 'PRON', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN']",7,6
telle vieille sainte éternellement sage,"['DET', 'ADJ', 'NOUN', 'ADV', 'ADJ']",5,4
connut l' honneur maison,"['VERB', 'DET', 'NOUN', 'NOUN']",4,3
quand vit venir habillée garçon,"['SCONJ', 'VERB', 'VERB', 'VERB', 'NOUN']",5,3
bien prise cuirasse droite l' arçon,"['ADV', 'VERB', 'NOUN', 'ADJ', 'DET', 'NOUN']",6,5
priant pommeau estramaçon,"['VERB', 'NOUN', 'ADJ']",3,3
après neuf cent vingt ans fille dur corsage,"['ADP', 'NUM', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADJ', 'NOUN']",8,4
qu' elle vit monter dessus l' horizon,"['PRON', 'PRON', 'VERB', 'VERB', 'ADV', 'DET', 'NOUN']",7,5
souple cheval caparaçon,"['ADJ', 'NOUN', 'ADJ']",3,2
plus grande beauté tout parentage,"['ADV', 'ADJ', 'NOUN', 'DET', 'NOUN']",5,4
cinquième jour,"['ADJ', 'NOUN']",2,2
mardi janvier,"['NOUN', 'NOUN']",2,1
comme vieille aïeule fin fond âge,"['ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",6,3
plaît regarder plus arrière fille,"['VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
naissante l' autre bout longue famille,"['ADJ', 'DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",6,3
recommencer vie ainsi qu' un héritage,"['VERB', 'NOUN', 'ADV', 'SCONJ', 'DET', 'NOUN']",6,5
fait avance très grand personnage,"['VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,4
fileuse moissonneuse pleine faucille,"['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
plus preste fuseau plus savante aiguille,"['ADV', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']",6,3
qu' on jamais vu simple village,"['PRON', 'PRON', 'ADV', 'VERB', 'ADJ', 'NOUN']",6,5
telle vieille sainte éternellement sage,"['DET', 'ADJ', 'NOUN', 'ADV', 'ADJ']",5,4
bord montagne double berge,"['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
regardait s' avancer tout équipage,"['VERB', 'PRON', 'VERB', 'DET', 'NOUN']",5,4
encadrement cierge flamberge,"['NOUN', 'NOUN', 'ADJ']",3,2
casque remis mains petit page,"['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
fille plus sainte après sainte vierge,"['NOUN', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADJ']",6,4
sixième jour,"['ADJ', 'NOUN']",2,2
mercredi janvier,"['NOUN', 'NOUN']",2,1
vi,['NUM'],1,1
comme dieu fait rien miséricordes,"['ADP', 'NOUN', 'VERB', 'PRON', 'NOUN']",5,4
fallut qu' elle vît royaume lambeaux,"['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADJ']",6,5
filleule ville embrasée flambeaux,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
ravagée mains plus sinistres hordes,"['VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,4
coeurs dévorés plus basses discordes,"['NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN']",5,4
morts poursuivis jusque tombeaux,"['VERB', 'VERB', 'ADV', 'NOUN']",4,3
cent mille innocents exposés corbeaux,"['NUM', 'NUM', 'NOUN', 'VERB', 'NOUN']",5,3
pendus tirant langue bout cordes,"['VERB', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
qu' elle vît fleurir plus grande merveille,"['PRON', 'PRON', 'VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']",7,5
jamais dieu père simplicité,"['ADV', 'NOUN', 'NOUN', 'NOUN']",4,2
jardins grâce volonté,"['NOUN', 'ADV', 'NOUN']",3,2
fait jaillir force nécessité,"['AUX', 'VERB', 'NOUN', 'NOUN']",4,3
après neuf cent vingt ans prière veille,"['ADP', 'NUM', 'NUM', 'NUM', 'NOUN', 'NOUN', 'NOUN']",7,3
quand vit venir vers l' antique cité,"['SCONJ', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN']",7,6
gardant coeur intact pleine adversité,"['VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN']",5,3
masquant sous visière efficacité,"['VERB', 'ADP', 'NOUN', 'NOUN']",4,3
tenant tout royaume ténacité,"['VERB', 'DET', 'NOUN', 'NOUN']",4,3
vivant plein mystère sagacité,"['VERB', 'ADJ', 'NOUN', 'NOUN']",4,3
mourant plein martyre vivacité,"['VERB', 'ADJ', 'NOUN', 'NOUN']",4,3
fille lorraine nulle autre pareille,"['NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADJ']",5,2
septième jour,"['ADJ', 'NOUN']",2,2
jeudi janvier,"['NOUN', 'NOUN']",2,1
vii,['NUM'],1,1
comme dieu fait rien simple bergère,"['ADP', 'NOUN', 'VERB', 'PRON', 'ADJ', 'NOUN']",6,5
fallut qu' elle vît discorde civile,"['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADJ']",6,5
secouer flambeau toits ville,"['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
joindre fureur guerre étrangère,"['VERB', 'NOUN', 'NOUN', 'ADJ']",4,3
fallut qu' elle vît l' horrible harengère,"['VERB', 'SCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN']",7,6
haranguer bas peuple tourbe servile,"['VERB', 'ADJ', 'NOUN', 'NOUN', 'ADJ']",5,3
halle blé jusqu l' hôtel ville,"['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']",6,3
refluer hoquet l' odieuse mégère,"['VERB', 'NOUN', 'DET', 'ADJ', 'NOUN']",5,4
qu' elle vît venir merveilleuse légère,"['PRON', 'PRON', 'VERB', 'VERB', 'ADJ', 'ADJ']",6,3
chemins ronce frêle fougère,"['NOUN', 'ADJ', 'ADJ', 'ADJ']",4,2
pliant beaux drapeaux comme humble lingère,"['VERB', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN']",6,4
gouvernant bataille bonne ménagère,"['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
traînant trois vertus quelque fourragère,"['VERB', 'NUM', 'NOUN', 'DET', 'NOUN']",5,4
vers l' antique vaisseau jeune passagère,"['ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADJ']",6,4
huitième jour,"['ADJ', 'NOUN']",2,2
vendredi janvier,"['NOUN', 'NOUN']",2,1
viii,['NUM'],1,1
comme dieu fait rien pauvre misère,"['ADP', 'NOUN', 'VERB', 'PRON', 'ADJ', 'NOUN']",6,5
fallut qu' elle vît ville endolorie,"['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN']",5,4
peuples foulés race flétrie,"['NOUN', 'VERB', 'NOUN', 'VERB']",4,2
